OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,LotConfig,BldgType,LotArea,OverallCond,2ndFlrSF,BedroomAbvGr,Fireplaces,EnclosedPorch,OpenPorchSF,WoodDeckSF,HalfBath,SalePrice
7,2003,2003,856,856,1710,2,8,2,548,1,5,8450,5,854,3,0,0,61,0,1,208500
6,1976,1976,1262,1262,1262,2,6,2,460,3,5,9600,8,0,3,1,0,0,298,0,181500
7,2001,2002,920,920,1786,2,6,2,608,1,5,11250,5,866,3,1,0,42,0,1,223500
7,1915,1970,756,961,1717,1,7,3,642,2,5,9550,5,756,3,1,272,35,0,0,140000
8,2000,2000,1145,1145,2198,2,9,3,836,3,5,14260,5,1053,4,1,0,84,192,1,250000
5,1993,1995,796,796,1362,1,5,2,480,1,5,14115,5,566,1,0,0,30,40,1,143000
8,2004,2005,1686,1694,1694,2,7,2,636,1,5,10084,5,0,3,1,0,57,255,0,307000
7,1973,1973,1107,1107,2090,2,7,2,484,2,5,10382,6,983,3,2,228,204,235,1,200000
7,1931,1950,952,1022,1774,2,8,2,468,1,5,6120,5,752,2,2,205,0,90,0,129900
5,1939,1950,991,1077,1077,1,5,1,205,2,1,7420,6,0,2,2,0,4,0,0,118000
5,1965,1965,1040,1040,1040,1,5,1,384,1,5,11200,5,0,3,0,0,0,0,0,129500
9,2005,2006,1175,1182,2324,3,11,3,736,1,5,11924,5,1142,4,2,0,21,147,0,345000
5,1962,1962,912,912,912,1,4,1,352,1,5,12968,6,0,2,0,0,0,140,0,144000
7,2006,2007,1494,1494,1494,2,7,3,840,1,5,10652,5,0,3,1,0,33,160,0,279500
6,1960,1960,1253,1253,1253,1,5,1,352,2,5,10920,5,0,2,1,176,213,0,1,157000
7,1929,2001,832,854,854,1,5,2,576,2,5,6120,8,0,2,0,0,112,48,0,132000
6,1970,1970,1004,1004,1004,1,5,2,480,5,5,11241,7,0,2,1,0,0,0,0,149000
4,1967,1967,0,1296,1296,2,6,2,516,1,2,10791,5,0,2,0,0,0,0,0,90000
5,2004,2004,1114,1114,1114,1,6,2,576,1,5,13695,5,0,3,0,0,102,0,1,159000
5,1958,1965,1029,1339,1339,1,6,1,294,1,5,7560,6,0,3,0,0,0,0,0,139000
8,2005,2006,1158,1158,2376,3,9,3,853,2,5,14215,5,1218,4,1,0,154,240,1,325300
7,1930,1950,637,1108,1108,1,6,1,280,1,5,7449,7,0,3,1,205,0,0,0,139400
